縣市代碼,縣市名稱,鄉鎮市區,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
01,新北市,蘆洲區,014357,市立三民高中附設國中部,12,14,16,163,137,202,145,192,186,219,190,0,0,0,0
01,新北市,中和區,014362,市立錦和高中附設國中部,17,18,18,213,171,253,213,234,219,234,255,0,0,0,0
01,新北市,板橋區,014363,市立光復高中附設國中部,7,8,9,88,87,89,118,109,115,112,101,0,0,0,0
01,新北市,淡水區,014364,市立竹圍高中附設國中部,7,7,7,122,75,106,91,129,87,117,87,0,0,0,0
01,新北市,三峽區,014381,市立北大高中附設國中部,4,4,4,62,63,74,54,52,75,56,68,0,0,0,0
01,新北市,貢寮區,014399,市立豐珠中學附設國中,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
01,新北市,汐止區,014468,市立樟樹國際實創高中附設國中部,7,7,8,94,72,74,94,98,92,100,72,0,0,0,0
01,新北市,板橋區,014501,市立板橋國中,13,16,16,171,136,226,176,228,170,236,174,32,77,2,7
01,新北市,板橋區,014503,市立重慶國中,18,20,20,219,196,232,253,228,264,210,245,37,100,2,11
01,新北市,板橋區,014504,市立江翠國中,16,20,19,204,191,233,208,250,245,203,219,42,105,3,11
01,新北市,板橋區,014505,市立中山國中,30,30,29,487,444,483,443,469,415,480,451,60,159,2,12
01,新北市,板橋區,014506,市立新埔國中,12,12,12,125,131,133,148,139,145,118,112,27,69,4,6
01,新北市,新莊區,014507,市立新莊國中,23,25,23,298,245,308,305,348,308,297,322,47,135,2,12
01,新北市,新莊區,014508,市立新泰國中,16,19,20,222,170,243,203,260,223,232,185,39,109,2,8
01,新北市,新莊區,014509,市立福營國中,17,17,20,228,183,243,207,299,205,306,224,54,88,0,12
01,新北市,新莊區,014510,市立頭前國中,13,14,14,151,161,194,148,183,169,169,176,28,75,1,10
01,新北市,三重區,014512,市立光榮國中,7,9,9,85,68,119,80,87,76,112,87,15,49,2,7
01,新北市,三重區,014513,市立明志國中,15,19,19,202,168,258,234,252,185,261,242,35,98,4,9
01,新北市,三重區,014514,市立碧華國中,15,15,14,211,209,227,201,199,170,153,150,33,71,2,11
01,新北市,永和區,014516,市立永和國中,34,35,34,449,413,486,446,488,465,505,464,64,192,1,12
01,新北市,永和區,014517,市立福和國中,28,29,31,349,372,400,370,388,408,361,404,59,155,1,12
01,新北市,中和區,014518,市立中和國中,12,13,14,143,111,147,150,166,147,151,150,26,74,1,11
01,新北市,中和區,014519,市立積穗國中,9,11,12,105,100,136,136,127,114,157,126,24,56,4,4
01,新北市,中和區,014520,市立漳和國中,7,10,10,82,69,95,80,95,97,142,100,21,53,1,9
01,新北市,鶯歌區,014521,市立鶯歌國中,16,20,21,218,178,255,246,272,244,251,261,39,102,2,11
01,新北市,樹林區,014523,市立柑園國中,3,4,3,36,24,52,40,36,44,30,27,8,18,0,7
01,新北市,土城區,014524,市立土城國中,18,18,21,264,245,285,243,321,274,252,257,37,109,1,10
01,新北市,三峽區,014525,市立三峽國中,19,21,21,252,209,278,262,318,281,281,240,47,103,3,9
01,新北市,八里區,014527,市立八里國中,5,5,6,50,57,70,48,61,65,58,49,17,35,1,7
01,新北市,泰山區,014528,市立泰山國中,7,8,9,85,87,134,89,127,95,111,140,18,45,1,7
01,新北市,五股區,014529,市立五股國中,15,13,13,168,101,145,138,169,129,182,143,26,76,0,10
01,新北市,蘆洲區,014530,市立蘆洲國中,17,21,21,239,188,286,234,291,252,278,256,35,109,1,12
01,新北市,林口區,014531,市立林口國中,18,18,17,284,247,292,288,276,276,260,253,40,93,0,10
01,新北市,汐止區,014533,市立汐止國中,6,9,8,70,74,110,95,86,80,111,107,19,40,2,7
01,新北市,淡水區,014534,市立淡水國中,9,11,11,112,91,123,116,135,126,120,101,22,58,0,10
01,新北市,三芝區,014536,市立三芝國中,5,7,6,65,47,71,63,63,77,75,72,17,29,3,5
01,新北市,石門區,014537,市立石門實驗國中,3,2,2,18,19,19,7,20,13,17,7,7,17,1,2
01,新北市,萬里區,014539,市立萬里國中,2,2,3,13,22,20,10,21,18,19,18,7,15,1,4
01,新北市,坪林區,014540,市立坪林實驗國中,2,2,2,17,18,23,8,17,12,25,15,5,17,0,2
01,新北市,新店區,014541,市立文山國中,9,8,9,91,85,99,88,107,84,121,79,18,49,2,7
01,新北市,新店區,014542,市立五峰國中,13,13,13,145,113,136,175,156,150,197,134,21,78,4,7
01,新北市,瑞芳區,014544,市立瑞芳國中,5,7,5,55,50,73,55,65,59,66,73,23,33,1,7
01,新北市,瑞芳區,014545,市立欽賢國中,2,2,2,5,4,5,2,4,4,15,9,12,8,2,1
01,新北市,貢寮區,014546,市立貢寮實驗國中,2,2,2,13,12,14,10,15,11,19,11,10,12,1,3
01,新北市,深坑區,014549,市立深坑國中,5,5,6,57,38,59,53,67,63,75,75,17,23,1,7
01,新北市,平溪區,014550,市立平溪國中,2,2,2,4,2,4,5,4,6,11,5,9,18,2,2
01,新北市,烏來區,014551,市立烏來國中(小),1,1,1,6,2,5,3,9,3,5,7,5,11,2,4
01,新北市,板橋區,014552,市立溪崑國中,20,22,22,269,259,296,286,310,284,341,320,53,101,1,12
